Depth,Nodes,train_acc,val_acc,test_acc
1,0,0.7518148148148148,0.7453333333333333,0.753
3,1,0.7723703703703704,0.7756666666666666,0.7723333333333333
12,2,0.7864074074074074,0.783,0.7893333333333333
53,3,0.8310740740740741,0.823,0.828
194,4,0.8366296296296296,0.8283333333333334,0.8353333333333334
859,5,0.8384074074074074,0.8253333333333334,0.834
1407,6,0.8505925925925926,0.8356666666666667,0.8416666666666667
2527,7,0.8582222222222222,0.8366666666666667,0.84
4134,8,0.8678888888888889,0.8363333333333334,0.8413333333333334
5737,9,0.8811851851851852,0.8383333333333334,0.8386666666666667
7402,10,0.8937777777777778,0.8316666666666667,0.8353333333333334
9117,11,0.9047037037037037,0.8346666666666667,0.8333333333333334
10719,12,0.9161851851851852,0.832,0.83
12367,13,0.9286666666666666,0.8223333333333334,0.8196666666666667
13873,14,0.94,0.821,0.815
15233,15,0.9534074074074074,0.817,0.8156666666666667
16349,16,0.964925925925926,0.813,0.8143333333333334
17278,17,0.9745925925925926,0.8103333333333333,0.81
17924,18,0.9813703703703703,0.808,0.8043333333333333
18364,19,0.9868518518518519,0.808,0.805
18588,20,0.9897407407407407,0.809,0.8036666666666666
