Depth,Nodes,train_acc,val_acc,test_acc
1,0,0.7518148148148148,0.7453333333333333,0.753
7,1,0.7518148148148148,0.7453333333333333,0.753
92,2,0.818962962962963,0.8036666666666666,0.8116666666666666
989,3,0.8307407407407408,0.8073333333333333,0.8123333333333334
3856,4,0.8516666666666667,0.808,0.8143333333333334
6365,5,0.8698518518518519,0.8083333333333333,0.8163333333333334
8759,6,0.8837777777777778,0.818,0.818
10730,7,0.8968148148148148,0.811,0.812
12344,8,0.9098518518518518,0.8073333333333333,0.806
13704,9,0.9216296296296296,0.8023333333333333,0.8023333333333333
15188,10,0.9337407407407408,0.8006666666666666,0.7946666666666666
16391,11,0.945037037037037,0.7976666666666666,0.7896666666666666
17516,12,0.9570740740740741,0.794,0.7913333333333333
18477,13,0.9670740740740741,0.792,0.787
19291,14,0.9762222222222222,0.7886666666666666,0.784
19832,15,0.9823333333333333,0.7903333333333333,0.782
20182,16,0.9866296296296296,0.7863333333333333,0.7806666666666666
20364,17,0.9888518518518519,0.7856666666666666,0.7796666666666666
20466,18,0.9900740740740741,0.7843333333333333,0.7793333333333333
20508,19,0.9907037037037038,0.7843333333333333,0.779
20516,20,0.9908518518518519,0.7843333333333333,0.779
