Depth,Nodes,train_acc,val_acc,test_acc
1,0,0.7518148148148148,0.7453333333333333,0.753
7,1,0.7518148148148148,0.7453333333333333,0.753
94,2,0.819037037037037,0.8036666666666666,0.8116666666666666
1009,3,0.8313703703703703,0.8056666666666666,0.811
3382,4,0.852925925925926,0.8086666666666666,0.8136666666666666
5975,5,0.8712962962962963,0.812,0.815
8358,6,0.8855925925925926,0.8186666666666667,0.8183333333333334
10541,7,0.8995925925925926,0.8126666666666666,0.8113333333333334
12184,8,0.9125555555555556,0.8096666666666666,0.8103333333333333
13922,9,0.9247777777777778,0.802,0.806
15314,10,0.9372592592592592,0.8016666666666666,0.7973333333333333
16532,11,0.9487037037037037,0.7983333333333333,0.801
17616,12,0.9597777777777777,0.7943333333333333,0.7973333333333333
18528,13,0.9693333333333334,0.791,0.7926666666666666
19255,14,0.9776296296296296,0.789,0.7906666666666666
19769,15,0.9834074074074074,0.79,0.7873333333333333
20101,16,0.9876666666666667,0.787,0.7863333333333333
20269,17,0.9895185185185185,0.7863333333333333,0.7856666666666666
20365,18,0.9907407407407407,0.784,0.7853333333333333
20403,19,0.9912962962962963,0.784,0.785
20411,20,0.9914444444444445,0.784,0.785
