Depth,Nodes,train_acc,val_acc,test_acc
1,0,0.7518148148148148,0.7453333333333333,0.753
3,1,0.7723703703703704,0.7756666666666666,0.7723333333333333
12,2,0.7864074074074074,0.783,0.7893333333333333
53,3,0.8310740740740741,0.823,0.828
175,4,0.8364444444444444,0.8283333333333334,0.8353333333333334
748,5,0.8384074074074074,0.8246666666666667,0.8336666666666667
1440,6,0.8512592592592593,0.8356666666666667,0.8423333333333334
2441,7,0.8584814814814815,0.835,0.8406666666666667
3648,8,0.8665555555555555,0.8346666666666667,0.839
5031,9,0.879962962962963,0.837,0.8386666666666667
6645,10,0.8924444444444445,0.835,0.8356666666666667
8356,11,0.9040370370370371,0.8343333333333334,0.833
9895,12,0.9158518518518518,0.8263333333333334,0.8333333333333334
11628,13,0.9283333333333333,0.8206666666666667,0.8256666666666667
13172,14,0.9404074074074074,0.814,0.8136666666666666
14617,15,0.9541111111111111,0.8146666666666667,0.8146666666666667
15811,16,0.9665185185185186,0.8066666666666666,0.8136666666666666
16740,17,0.9765555555555555,0.8053333333333333,0.809
17364,18,0.9836296296296296,0.8026666666666666,0.8063333333333333
17726,19,0.9882962962962963,0.8046666666666666,0.8063333333333333
17892,20,0.9904444444444445,0.8026666666666666,0.804
